COPD_number,Some college or associate's degree 2014-18,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),19-Oct,High school diploma only 2014-18,Employed_2018,Family Medicine/General Practice Primary Care (2019),Active Physicians per 100000 Population 2018 (AAMC),CI90UBINC_2018,Percent of Population Aged 60+,Median_Household_Income_2018,R_DOMESTIC_MIG_2018,Hawaiian/Pacific Islander-alone pop,Bachelor's degree or higher 2014-18,R_INTERNATIONAL_MIG_2018,Total Specialist Physicians (2019),Unemployed_2018,Total physician assistants (2019),anycondition_prevalence,N_POP_CHG_2018,Active Primary Care Physicians per 100000 Population 2018 (AAMC),White-alone pop,diabetes_number,Two or more races pop,GQ_ESTIMATES_2018,CI90LBINC_2018,CKD_prevalence,Less than a high school diploma 2014-18,county_pop2018_18 and older,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),70-79,80+,0-9,Total nurse practitioners (2019),diabetes_prevalence,Heart disease_prevalence,50-59,CKD_number,Active General Surgeons per 100000 Population 2018 (AAMC),COPD_prevalence,POP_ESTIMATE_2018,Obesity_prevalence,Asian-alone pop,20-29,Native American/American Indian-alone pop,Civilian_labor_force_2018,Population Aged 60+,40-49,30-39,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),R_NET_MIG_2018,Black-alone pop,R_death_2018,60-69,anycondition_number,R_birth_2018,Heart disease_number,Internal Medicine Primary Care (2019)
31913,146410,82.1,13.27974094,85588,107599,314530,367.6220968,244.8,52982,20.9,51372,110,1017,157155,40,937.3553727,14850,172.3127361,37.5,15,91.1,571760,60774,20829,11913,49762,3.2,51916,531331,7.3,48038,25564,78747,331.0218352,11.4,6.2,86148,16872,7.7,6.0,678701,27.3,19454,95507,42255,329380,140933,81193,97313,213.8,31,23386,8.7,80603,199236,10.8,32977,317.094302
23563,121561,88.9,9.066834645,66378,84351,324124,277.4043903,285.7,88156,22.1,85550,121,678,180236,25,742.56357,10118,228.9121062,29.9,4416,95.4,532081,33878,14608,8757,82944,2.5,22840,465718,7.1,40954,20968,61097,294.9268123,7.3,5.1,81341,11726,7.8,5.1,580233,22.3,17749,74304,6944,334242,124374,74852,86547,262.5,175,8173,7.9,73792,139023,10.4,23840,254.9919901
2860,7942,71.9,0.559228954,5999,8886,18561,13.15537905,228.7,49446,20.0,45680,10,25,4257,3,49.32013698,776,12.83141193,48.8,133,79.1,26715,4348,555,1554,41914,3.6,4705,30551,6.1,2782,1396,5585,18.57025802,14.2,8.0,4875,1092,7.0,9.4,40571,36.8,664,5666,190,19337,8091,4756,5255,202.9,128,12422,10.1,4257,14902,13.6,2457,19.1989085
2122,4696,71.9,0.370609275,3957,6784,11251,8.718263697,228.7,40478,21.4,37148,26,37,2790,7,32.6851821,694,8.50356591,49.4,-9,79.1,18841,3171,425,326,33818,3.9,3362,19774,6.1,1980,1029,3826,12.30678385,16.0,9.1,3314,781,7.0,10.7,26887,36.2,225,3295,225,11945,5815,3147,3331,202.9,7,7134,12.3,3008,9774,13.6,1790,12.72339979
880,2524,66.5,0.237485047,1863,2981,4745,4.364639137,224.8,48403,24.0,43714,111,22,1550,56,15.39248205,245,2.653202921,52.1,159,72.9,10247,1479,341,65,39025,3.8,1290,9570,5.4,1033,556,1920,4.495414842,15.5,9.4,1634,366,6.2,9.2,13033,38.9,125,1609,125,4990,3038,1370,1389,199.9,144,2173,9.6,1659,4991,13.5,903,4.931333857
245,675,66.5,0.066564327,498,771,1413,1.22335815,224.8,44029,25.3,39726,165,2,467,17,4.314335681,53,0.743662263,47.1,-30,72.9,3266,405,99,99,35423,3.9,464,2688,5.4,308,210,553,1.260013076,15.1,9.7,451,104,6.2,9.1,3653,35.4,11,407,50,1466,948,360,403,199.9,334,225,13.1,463,1265,10.1,260,1.382196162
8960,18606,89.4,2.890935591,11310,21011,39332,64.06519765,263.4,42773,23.7,39790,496,25,16322,3,144.7016511,1955,34.48473169,54.0,-1262,100.1,85022,10298,2158,3934,36807,3.4,7599,74829,9.2,7716,4300,10172,48.62966655,13.8,9.8,11044,2530,10.5,12.0,93224,38.0,1234,15409,204,41287,22787,10663,11251,231.6,339,4581,12.7,11359,40375,10.9,7342,50.38487744
810,1203,80.1,0.088962631,1142,2507,2756,3.39451884,265.2,47405,19.2,42689,232,10,969,72,11.93124176,91,2.497923103,49.3,109,86.8,7325,959,121,1481,37973,3.7,1467,6961,6.0,615,344,854,5.067180298,13.8,9.9,1022,254,6.9,11.6,8732,36.7,26,1377,71,2847,1667,1321,1146,240.7,233,1179,9.1,911,3429,7.5,690,4.753556275
1220,5863,86.4,0.543821454,3034,5800,13570,13.39518107,264.9,71791,24.0,68017,33,11,4022,1,37.60545796,363,7.523544921,43.7,57,94.6,23007,1793,293,180,64243,2.9,839,18326,7.1,1867,976,2878,12.43429354,9.8,7.1,3680,538,7.9,6.7,23771,35.4,211,2326,56,13933,5649,2739,2823,238.3,16,193,8.3,3448,8012,11.5,1293,12.47927125
10253,28129,94.8,1.086769362,16480,32222,52227,42.42328592,375.1,47822,25.6,45689,173,67,19522,57,320.1910599,2766,58.22072249,46.5,-670,112.9,119804,12684,2753,6071,43556,3.5,9985,101942,7.4,10728,6857,13850,82.56173747,12.4,8.8,18031,3571,10.2,10.1,127939,34.4,871,15923,912,54993,33458,14123,14081,304.1,211,3532,11.0,17866,47370,10.0,9013,135.6497661
10575,27833,77.8,2.231183558,15778,31875,60266,48.23236805,253.1,61454,25.8,57939,426,98,22022,14,196.014326,2009,23.12670262,48.8,1449,85.1,123234,13065,2235,2084,54424,3.2,9996,104790,7.4,12167,5938,13688,111.5203747,12.5,8.6,19127,3383,8.1,10.1,131349,37.2,1230,15629,553,62275,32770,16566,14788,225.8,203,3999,10.4,17668,51164,9.3,9041,69.59352542
3341,10691,87.2,0.665055945,5739,12488,21934,21.53074166,284.4,58242,26.5,53409,18,15,6262,3,76.05110336,1132,8.862670668,45.1,-202,99.6,43991,4045,519,863,48576,3.3,2902,35669,5.8,3729,2386,4915,17.65065591,11.3,8.2,6548,1160,7.0,9.4,45313,33.2,175,4922,168,23066,12200,5400,5299,240.5,31,445,12.6,6375,16090,10.2,2923,34.32328837
391,801,79.0,0.091582861,600,1386,1895,2.053858253,273.1,43519,25.5,39463,447,0,342,14,8.156129355,82,0.499201659,49.3,85,86.6,4514,453,50,47,35407,3.6,425,3443,6.3,409,251,662,2.565070778,13.2,9.7,612,122,7.0,11.3,4599,37.2,14,570,15,1977,1136,499,445,236.3,199,6,9.0,551,1697,15.8,334,2.860838378
57,210,66.5,0.016454308,133,157,423,0.302406901,224.8,74975,28.7,67470,548,0,149,0,1.06647827,13,0.183828914,47.3,-34,72.9,865,86,23,0,59965,3.3,51,683,5.4,90,40,110,0.311467782,12.6,8.9,117,23,6.2,8.3,903,35.0,2,77,9,436,255,92,125,199.9,542,4,6.5,119,323,8.7,61,0.341670718
7559,22997,83.7,1.703812894,14003,26653,45708,47.47841497,292.7,53987,23.1,50301,170,24,12347,7,200.083842,2147,19.63776098,47.2,-406,93.7,85398,10254,3137,5863,46615,3.3,7192,78996,7.1,7448,4742,12743,53.03776322,13.0,8.4,13423,2575,8.3,9.6,102663,36.7,809,13849,305,47855,24080,11714,11875,248.6,52,12990,10.5,12866,37247,11.8,6669,69.43476669
39053,148585,114.6,9.028046917,106944,158830,434714,237.257073,449.5,73697,20.8,71767,37,589,202881,65,2494.389176,15956,260.729995,39.3,4910,134.3,713678,61478,19052,28276,69837,2.7,54112,656107,7.3,54298,32646,92020,754.0224785,9.4,6.2,124326,17828,9.6,6.0,830839,31.3,44707,110616,3336,450670,170081,105957,105527,353.7,284,49477,8.8,98505,257886,10.3,40556,1106.597804
3806,12208,119.7,1.392385259,5511,13350,28291,45.78490351,330.2,55234,31.1,52148,86,12,13358,6,91.89742708,1116,22.76959423,41.9,214,128.9,52568,5000,759,987,49062,3.3,2427,45447,11.7,5996,2960,4909,45.04775837,11.0,8.6,8278,1505,12.1,8.4,54811,30.7,685,5568,260,29407,16940,6264,5902,305.7,105,527,11.6,9423,19053,8.6,3913,32.96676863
3671,11291,97.6,0.428805382,5168,12372,23475,14.7080246,386.0,63683,34.2,59266,220,22,11907,12,117.7671101,2050,19.73362368,45.9,246,116.2,43045,5992,981,722,54849,3.6,3579,42920,7.5,6635,3557,4645,28.66992784,14.0,8.8,7699,1530,9.6,8.6,51823,36.4,764,5313,214,25525,17655,5374,5017,306.1,205,6797,13.4,8415,19687,7.8,3783,48.78090025
22960,80333,75.0,11.46577522,48083,69644,182612,219.5435369,207.6,51773,20.1,49957,137,209,90726,16,473.8752781,6598,27.23121615,47.0,-936,79.9,225615,38634,8538,8776,48141,3.2,25441,301671,6.5,25788,14026,51510,170.0322348,12.8,7.6,49288,9669,7.0,7.6,392680,34.7,9149,55600,1768,189210,79133,47640,54504,188.2,70,147401,9.6,46241,141823,13.0,23077,117.1333173
6692,17861,66.5,1.499637985,10170,19091,35025,27.5612243,224.8,46539,28.0,43337,280,83,10306,25,97.19833349,1364,16.75408173,54.5,1238,72.9,73911,9719,1628,1238,40135,3.9,9317,64575,5.4,8405,4148,9462,28.38702878,15.1,10.2,11223,2494,6.2,10.4,82299,38.0,595,9118,779,36389,22345,9151,8905,199.9,480,5303,13.7,11717,35206,11.1,6615,31.13971036
3174,8966,83.7,0.737085825,5291,13026,19806,20.5396184,292.7,66846,20.0,61645,52,12,5317,39,86.55819208,778,8.495484044,46.7,366,93.7,40024,4152,758,4828,56444,2.9,4071,35296,7.1,3076,1595,4770,22.94464586,11.8,7.6,6439,1009,8.3,9.0,44413,33.6,641,5556,162,20584,8744,6404,6292,248.6,295,2816,9.2,4990,16500,9.5,2669,30.03814707
600,1441,81.7,0.078229707,636,2099,3547,3.038735173,263.2,62878,30.7,56872,155,5,720,9,9.576619938,145,1.712904621,51.1,-59,90.3,3040,1043,228,0,50866,4.3,1162,5889,6.3,775,352,536,3.649089864,17.7,9.7,1288,254,7.3,10.2,6941,38.7,40,734,475,3692,2156,760,670,231.8,128,3153,14.3,1190,3007,6.2,570,3.461664525
413,1675,80.5,0.295807151,631,1544,2646,3.807187005,227.6,55767,28.0,50261,388,0,925,4,8.114479625,76,1.77058669,49.0,-111,88.0,5662,643,120,978,44755,3.2,400,5059,6.3,517,363,600,3.494354981,12.7,8.2,817,164,6.8,8.2,6196,39.8,38,848,50,2722,1772,720,820,206.5,377,326,11.2,880,2481,10.2,416,2.564371347
833,3464,77.9,0.528433263,1848,3758,7130,9.677493905,218.2,64937,26.6,60044,20,0,1862,7,18.30259953,161,3.819945535,45.8,5,84.8,13785,1217,189,277,55151,3.1,813,10856,6.5,1183,754,1731,8.607192635,11.2,8.0,2080,342,6.9,7.7,14134,34.2,50,1427,50,7291,3779,1678,1535,193.1,17,60,11.3,1898,4975,11.6,863,5.72320093
163,493,66.5,0.038976484,223,603,807,0.716332626,224.8,39842,33.3,35881,257,0,305,5,2.526242546,34,0.435448557,50.4,18,72.9,2043,295,22,41,31920,4.3,315,1761,5.4,320,189,198,0.737795776,16.7,11.2,296,75,6.2,9.2,2139,34.9,4,190,35,841,708,193,178,199.9,205,35,10.8,352,887,8.5,198,0.809339609
1095,1802,79.0,0.179561351,998,3079,3282,4.026884076,273.1,37928,33.4,34367,346,0,842,46,15.99126297,179,0.978756546,58.1,-186,86.6,8698,1309,186,123,30806,4.7,1177,7324,6.3,1204,601,832,5.029189652,17.9,13.5,1319,346,7.0,14.9,9017,40.4,17,722,97,3461,3114,904,777,236.3,370,19,15.0,1660,4253,8.6,986,5.609084508
671,2336,65.0,0.137391609,1019,2681,4434,2.813405453,213.5,65176,23.2,58942,380,19,1053,4,9.636147868,170,1.651821848,51.4,-124,72.3,8120,889,259,1301,52708,3.2,996,7591,5.0,737,422,1033,2.626053259,11.7,8.3,1301,242,5.6,8.8,9475,34.3,114,1229,480,4604,2291,1145,1428,185.8,370,483,9.8,1161,3901,10.6,630,4.405899106
19505,97990,96.0,12.45311725,69332,75283,281072,343.7844809,302.7,64926,19.1,62937,315,519,150759,60,920.0598359,7742,177.6775469,36.7,4692,104.9,370844,39594,19947,17442,60948,2.7,35551,421978,6.6,31872,20177,74052,282.4013991,9.4,5.6,65621,11261,7.4,4.6,550210,30.3,84087,86769,5262,288814,102817,60477,82235,265.0,220,69551,7.7,59675,154874,14.0,23497,315.2501729
16289,60690,72.3,4.004071495,38352,56407,143095,135.8482807,229.5,63490,21.0,60627,261,440,59163,44,374.4096998,4225,60.87349274,41.2,4214,80.1,235430,25111,5554,2340,57764,2.9,20514,226738,6.2,20873,9833,36181,123.081676,11.1,6.7,40313,6683,7.0,7.2,295032,31.3,6428,36512,1560,147320,59280,38833,39143,205.0,240,45620,8.5,34992,93304,11.0,15260,124.0101563
95615,436563,87.1,19.70838512,319398,352296,922251,834.339936,279.6,64976,15.6,63310,0,10339,270028,14,3226.410868,38779,434.6275348,45.3,18400,96.2,1666544,204266,76822,37611,61644,3.1,272865,1599325,6.2,108068,54810,313371,846.1979059,12.8,5.8,262251,49429,7.2,6.0,2171603,34.7,168410,340133,44935,961030,330448,268000,302440,243.8,165,204553,6.9,203132,725284,14.1,93262,1227.684168
102154,295287,80.1,15.13893971,163691,258521,704955,577.6517087,265.2,63163,29.1,61735,232,1623,376461,80,2030.362038,26049,425.0763117,41.2,15603,86.8,1112092,163990,27198,21625,60307,3.6,124483,1202485,6.0,153797,113753,151868,862.2916811,13.6,8.7,199269,43465,6.9,8.5,1485941,29.3,43551,170402,8715,731004,414928,177484,172925,240.7,246,292762,10.5,182752,494930,10.0,104031,808.9216863
8680,35451,86.4,3.73198645,21849,39833,82631,91.92471886,264.9,60538,21.7,57675,104,105,23850,1,258.068266,2766,51.63048923,43.8,809,94.6,147253,13020,3972,2694,54812,3.0,10334,125428,7.1,11557,6661,19981,85.33060747,10.4,7.0,23063,3784,7.9,6.9,163129,34.6,2285,19982,897,85397,34912,19958,20353,238.3,359,8617,9.0,19725,55000,12.0,8720,85.639268
216,880,80.3,0.170259394,441,915,1977,2.306740173,239.2,50782,29.3,47279,124,1,496,35,5.025398234,49,1.504873351,46.9,-44,88.2,3440,317,43,143,43776,3.3,213,2741,6.2,245,256,417,1.913129747,11.5,8.1,535,90,6.8,7.9,3532,38.1,4,358,27,2026,1046,363,368,214.5,464,17,11.5,549,1287,11.0,221,1.636687075
59,306,84.8,0.080696186,153,300,713,0.765905909,240.4,60754,26.4,55017,288,0,238,25,1.35626222,18,0.571951918,41.2,8,92.8,1180,98,25,29,49280,3.0,68,959,8.6,82,58,160,0.669636775,10.2,7.6,185,29,9.2,6.2,1249,33.3,3,136,29,731,338,138,147,219.1,16,12,5.6,190,395,12.9,73,0.479929951
5030,12266,88.2,1.014076377,7032,23407,30533,36.71058401,320.5,53046,28.1,49436,123,8,7916,3,136.4009164,1615,28.88843708,48.5,-613,100.8,63724,6934,636,650,45826,3.4,5129,52753,7.2,6043,3752,6690,35.68631591,13.1,8.8,9994,1789,8.7,9.5,65263,37.1,200,6874,95,32148,18721,7923,7004,273.3,122,600,13.4,9951,25573,9.7,4646,52.8746557
1063,2474,61.2,0.39549879,1524,3290,4100,4.382446183,191.3,44040,24.6,39687,317,10,898,7,13.5068829,255,0.427458288,56.0,-99,65.9,9385,1423,157,102,35334,3.9,1536,9247,6.7,996,501,1428,8.333439142,15.4,10.0,1668,357,7.1,11.5,11931,42.3,29,1502,57,4355,2963,1443,1340,174.8,294,2293,9.8,1529,5180,10.9,921,4.710031039
29587,83228,80.1,3.632012517,38649,81305,149818,138.5855467,265.2,55116,32.9,52447,233,663,56151,73,487.1081119,5455,101.980886,46.1,11408,86.8,297834,40608,7382,3869,49778,3.8,26405,288227,6.0,45236,24161,36202,206.874077,14.1,10.0,45853,10946,6.9,10.3,356495,34.4,8062,37040,2165,155273,107419,40171,38574,240.7,234,40389,12.4,50609,133006,9.4,28883,194.0699776
928,4087,76.2,1.158570422,2185,2272,14876,15.02146478,207.9,110032,18.7,99087,79,35,9847,32,21.73318309,464,6.432063378,24.3,-180,79.8,21971,1360,363,270,88142,2.4,958,18842,10.4,1569,657,2384,11.4259014,7.2,5.2,2928,447,10.6,4.9,23081,19.4,326,2967,211,15340,4298,3423,4093,199.6,466,175,3.2,2875,4576,9.9,981,5.273492956
16546,56717,87.6,4.217106688,41802,37856,144991,176.3863443,287.0,54862,18.0,52837,61,198,67150,94,594.5827576,5483,110.786907,35.5,408,97.8,221224,21235,12261,17194,50812,2.7,12738,234329,6.7,16702,8783,32484,129.441747,9.1,6.0,32218,6330,7.9,7.1,292735,29.6,21427,63434,1863,150474,51447,30764,35994,249.7,141,35762,7.6,30554,83104,11.5,14157,217.151709
1816,3760,89.4,0.551586194,1941,5237,7602,12.22354405,263.4,53837,29.3,49487,175,8,2269,47,27.60885896,341,6.579635315,50.6,78,100.1,17191,2157,302,123,45137,3.5,1861,14602,9.2,1803,864,1610,9.278467764,14.8,10.4,2852,504,10.5,12.4,17787,35.9,69,1845,60,7943,5135,2183,1786,231.6,104,157,13.8,2903,7388,8.3,1513,9.613359382
11067,43169,71.9,2.676293256,25743,34761,75325,62.9574917,228.7,49638,17.4,46628,80,483,33352,16,236.030608,4029,61.40708733,47.6,394,79.1,88457,20949,5985,6328,43618,3.4,16128,146048,6.1,11206,6282,27633,88.8713933,14.3,6.9,22936,4922,7.0,7.6,194160,37.4,5426,30396,990,79354,34483,22456,28071,202.9,302,92819,9.8,19437,69475,13.9,10041,91.87991606
2797,5645,81.7,0.365304892,3566,9155,16123,14.1898119,263.2,46731,29.6,42879,224,56,4376,45,44.71940721,639,7.998655034,50.0,-154,90.3,22067,4348,549,430,39027,4.2,4419,25756,6.3,3455,1762,3696,17.03995111,16.9,10.4,4550,1089,7.3,10.9,32412,39.5,253,3278,225,16762,9713,3382,3481,231.8,154,9262,14.8,5242,12877,10.8,2673,16.16474148
3325,11165,121.5,1.235837835,5842,12540,28496,32.92625088,367.1,60478,29.7,57438,35,21,15147,32,106.8116986,682,21.80371037,36.5,29,130.3,53051,4671,978,823,54398,3.0,2821,45302,9.9,5705,2938,5155,33.89726632,10.3,7.0,8473,1379,11.7,7.3,55286,28.9,558,5517,171,29178,16500,6159,6379,322.7,103,507,9.6,9118,16558,8.3,3185,36.81031265
1234,3701,71.9,0.256850271,2714,5019,8437,6.042181193,228.7,72791,20.4,66901,300,6,1957,7,22.65242248,319,5.893385174,46.2,428,79.1,16463,1722,286,210,61011,3.0,1599,14275,6.1,1406,619,2109,8.529200364,12.1,7.4,2690,434,7.0,8.6,18634,33.5,88,2145,58,8756,3658,2666,2199,202.9,306,1733,9.9,2086,6590,10.2,1050,8.817935496
294,1493,82.1,0.088166236,477,1146,2127,2.440699466,244.8,38273,30.2,34491,2,1,366,0,6.223246039,139,1.144010675,50.9,-36,91.1,4220,735,76,8,30709,5.1,274,3700,7.3,563,299,420,2.197704717,19.9,10.8,648,190,7.7,8.0,4506,34.6,26,418,134,2266,1391,419,456,213.8,340,49,7.1,806,1882,8.2,399,2.105237689
20253,72422,87.1,3.953233767,62929,56133,210010,167.3572334,279.6,72733,17.6,69665,164,2682,67157,25,647.1740994,14047,87.18036694,37.0,117,96.2,360356,36143,16496,18086,66597,3.2,78816,321760,6.2,24484,14958,63650,169.7357807,11.2,6.3,50265,10298,7.2,6.3,435594,28.1,29494,61887,11351,224057,76257,53314,60805,243.8,43,15215,6.2,43302,119010,13.8,20306,246.2567318
